opabbrev,opname,optype,datasource,count
Non-public,Manhattan Parking Gold Corp,Non-public,dca_operatingbusinesses,1
Non-public,Crossover Baptist Church Comm. Outreach Help Cntr.,Non-public,foodbankny_foodbanks,1
Non-public,North Bronx Activities Center,Non-public,nysed_activeinstitutions,1
Non-public,East Coast Customs Automotive Inc,Non-public,dca_operatingbusinesses,1
Non-public,Alert Garage Corp.,Non-public,dca_operatingbusinesses,2
Non-public,2321 Belmont Realty Corp.,Non-public,dca_operatingbusinesses,1
Non-public,"Garden School, Inc.",Non-public,doe_universalprek,1
Non-public,New York Automotive & Diesel Institute,Non-public,nysed_activeinstitutions,1
Non-public,"Queens Endoscopy ASC, LLC",Non-public,nysdoh_healthfacilities,1
Non-public,Lil Petes Automotive Inc,Non-public,dca_operatingbusinesses,1
Non-public,Phyl's Academy,Non-public,doe_universalprek,1
Non-public,Ken'S Towing Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Hispanic Society of America,Non-public,dcla_culturalinstitutions,1
Non-public,Bushwick Center for Renal Dialysis LLC,Non-public,nysdoh_healthfacilities,1
Non-public,Mp River Llc,Non-public,dca_operatingbusinesses,1
Non-public,Haven Arts Inc.,Non-public,dcla_culturalinstitutions,1
Non-public,"Gambardella, Anthony",Non-public,dca_operatingbusinesses,1
Non-public,"Kids Unlimited Pt,Ot & Slp, Pllc",Non-public,nysed_activeinstitutions,1
Non-public,Nycha-Randolph,Non-public,nysed_activeinstitutions,1
Non-public,I'm From Driftwood,Non-public,dcla_culturalinstitutions,1
Non-public,China Institute in America,Non-public,dcla_culturalinstitutions,1
Non-public,"Volunteers Of America - Greater New York, Inc.",Non-public,dohmh_daycare,1
Non-public,Flynn Park,Non-public,nysed_activeinstitutions,1
Non-public,New Life School (The),Non-public,nysed_activeinstitutions,1
Non-public,Divine Wisdom Catholic Academy,Non-public,dohmh_daycare,1
Non-public,Brooklyn Chinese - American Association,Non-public,dohmh_daycare,1
Non-public,USA Mali Charitable Association,Non-public,dcla_culturalinstitutions,1
Non-public,"The Society Of The New York Hospital Fund, Inc.",Non-public,dca_operatingbusinesses,2
Non-public,Russian American Cultural Center,Non-public,dcla_culturalinstitutions,1
Non-public,The Learning Center,Non-public,nysed_activeinstitutions,1
Non-public,Prospect Hill Senior Services Center,Non-public,nysopwdd_providers,1
Non-public,Marymount Manhattan College,Non-public,nysed_activeinstitutions,1
Non-public,"Rockaway Care Center,LLC",Non-public,nysdoh_healthfacilities,1
Non-public,Brightside Academy Inc.,Non-public,dohmh_daycare,1
Non-public,Superb Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,Surrey Garage Corp.,Non-public,dca_operatingbusinesses,2
Non-public,Uni. Facility Corp,Non-public,dca_operatingbusinesses,1
Non-public,79th Street Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,Marian Hall,Non-public,nysed_activeinstitutions,1
Non-public,"Highland Towing Service, Inc.",Non-public,dca_operatingbusinesses,2
Non-public,Cross Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Positive Beginnings Inc,Non-public,nysed_activeinstitutions,1
Non-public,"Crayon Box, Inc.",Non-public,dohmh_daycare,1
Non-public,"150th Parking Leasehold, Llc",Non-public,dca_operatingbusinesses,1
Non-public,J Hood Wright Rec,Non-public,nysed_activeinstitutions,1
Non-public,"Park West Collision, Inc.",Non-public,dca_operatingbusinesses,1
Non-public,A&K Towing And Autobody Inc,Non-public,dca_operatingbusinesses,1
Non-public,Flatbush Tompkins Cong. Church/Vbs,Non-public,nysed_activeinstitutions,1
Non-public,Queens Library-Rochdale Village,Non-public,nysed_activeinstitutions,1
Non-public,Manhattan Parking E. 79 St. Corp.,Non-public,dca_operatingbusinesses,1
Non-public,"Mom'S Center For Early Childhood Development,Inc.",Non-public,dohmh_daycare,1
Non-public,29 Downing Llc,Non-public,dca_operatingbusinesses,1
Non-public,Yeshiva Derech Hatorah,Non-public,nysed_activeinstitutions,1
Non-public,Bais Frima Chinuch Center,Non-public,nysed_activeinstitutions,1
Non-public,Arista Prep School,Non-public,nysed_activeinstitutions,1
Non-public,Beansprouts,Non-public,dohmh_daycare,5
Non-public,Gustavus Adolphus Lutheran Church,Non-public,dohmh_daycare,1
Non-public,Bronx Temple SDA Community Services,Non-public,foodbankny_foodbanks,1
Non-public,"Millie'S World, Inc.",Non-public,dohmh_daycare,1
Non-public,"Nostrand Parking, Corp.",Non-public,dca_operatingbusinesses,1
Non-public,"CenterStage: The Queens Center for the Performing Arts, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"Police Athlethic League, Inc.",Non-public,dohmh_daycare,1
Non-public,Queens Library-Court Square,Non-public,nysed_activeinstitutions,1
Non-public,Morris Jumel Mansion Inc,Non-public,nysed_activeinstitutions,1
Non-public,Be Above 22 (New World Education Center),Non-public,doe_universalprek,1
Non-public,DanceBreak Foundation,Non-public,dcla_culturalinstitutions,1
Non-public,"Athletic Edge Sports Center, Inc.",Non-public,dohmh_daycare,1
Non-public,Church In Nyc Bible Camp,Non-public,nysed_activeinstitutions,1
Non-public,St. Nicholas Of Tolentine School,Non-public,dohmh_daycare,1
Non-public,Talmud Torah Ohel Yochanan Rachmistrivka,Non-public,dohmh_daycare,1
Non-public,Y & M Transit Corp (B2321),Non-public,doe_busroutesgarages,2
Non-public,Bali Services Inc,Non-public,dca_operatingbusinesses,1
Non-public,Convent Avenue Baptist Church,Non-public,foodbankny_foodbanks,1
Non-public,AAMC Foundation,Non-public,dcla_culturalinstitutions,1
Non-public,Usda-Ceo P075q At Ps 239q Annex,Non-public,nysed_activeinstitutions,1
Non-public,"Scenarios USA, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Saratoga Early Childhood Education Center,Non-public,doe_universalprek,1
Non-public,Brotherhood Synagogue,Non-public,dohmh_daycare,1
Non-public,South Wing Theatre Company,Non-public,dcla_culturalinstitutions,1
Non-public,El Centro De Hospitalidad,Non-public,nysed_activeinstitutions,1
Non-public,Harlem Gems at P.S. 149,Non-public,doe_universalprek,1
Non-public,Early Childhood Learning Ctr,Non-public,nysed_activeinstitutions,1
Non-public,App Academy,Non-public,nysed_activeinstitutions,1
Non-public,"Pachas, William",Non-public,dca_operatingbusinesses,1
Non-public,Envy North Automotive Corp,Non-public,dca_operatingbusinesses,1
Non-public,Dreier Offerman Park,Non-public,nysed_activeinstitutions,1
Non-public,"Page Seventy-Three Productions, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Habitot E S  L L C,Non-public,dohmh_daycare,2
Non-public,Meat Market Garage Inc,Non-public,dca_operatingbusinesses,1
Non-public,Wetherby-Pembridge School (The),Non-public,nysed_activeinstitutions,1
Non-public,De La Salle Academy,Non-public,nysed_activeinstitutions,1
Non-public,Sheepshead Bay,Non-public,nysed_activeinstitutions,1
Non-public,Cherry Orchard Festival Foundation,Non-public,dcla_culturalinstitutions,1
Non-public,Speech And Theater Building At Lehman College,Non-public,nysed_activeinstitutions,1
Non-public,Imagine Me Leadership Charter School,Non-public,doe_lcgms,1
Non-public,Queens Library-Ozone Park,Non-public,nysed_activeinstitutions,1
Non-public,Brooklyn Processing Ii Inc,Non-public,dca_operatingbusinesses,1
Non-public,Salanter Akiba Riverdale Academy,Non-public,nysed_activeinstitutions,1
Non-public,"Prospect Theater Company, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"The New York Code And Design Academy, Inc",Non-public,nysed_activeinstitutions,1
Non-public,"Quintero, Wilson",Non-public,dca_operatingbusinesses,1
Non-public,"Fordham Road District Management Association, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Metropolitan Pool & Fitness Summer,Non-public,nysed_activeinstitutions,1
Non-public,Kings & Queens Day Care Inc.,Non-public,doe_universalprek,1
Non-public,State Premier Property Inc.,Non-public,dca_operatingbusinesses,1
Non-public,155 East 55th Street Parking Corp,Non-public,dca_operatingbusinesses,1
Non-public,Talmud Torah Tiferes Yisroel Inc,Non-public,nysed_activeinstitutions,1
Non-public,Trinity Human Services Corp.,Non-public,foodbankny_foodbanks,1
Non-public,Reggie'S Towing Enterprises Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Broadway Dance Lab,Non-public,dcla_culturalinstitutions,1
Non-public,"City Wide Health Facility, Inc.",Non-public,nysdoh_healthfacilities,1
Non-public,M.R. Parking Ii Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Chica Luna Productions,Non-public,dcla_culturalinstitutions,1
Non-public,Manhattan Parking E 71 St  Corp,Non-public,dca_operatingbusinesses,1
Non-public,"All For One Theater Festival, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Girls Preparatory Charter School of the Bronx,Non-public,doe_lcgms,1
Non-public,BWY preschool,Non-public,doe_universalprek,1
Non-public,Fanda Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,"New York Medical and Diagnostic Center, Inc",Non-public,nysdoh_healthfacilities,1
Non-public,Gray'S Auto Enterprises Inc.,Non-public,dca_operatingbusinesses,1
Non-public,"Hour Children, Inc.",Non-public,dohmh_daycare,2
Non-public,Williamsburg Charter High School,Non-public,doe_lcgms,1
Non-public,Tender Loving Care Day Camp,Non-public,nysed_activeinstitutions,1
Non-public,Hasc Center  Inc.,Non-public,nysopwdd_providers,1
Non-public,D'Little Star Education Activity Center,Non-public,nysed_activeinstitutions,1
Non-public,Governor Dewitt Clinton (2),Non-public,nysed_activeinstitutions,1
Non-public,South Jamaica Center for Children and Parents Inc. Center 1,Non-public,doe_universalprek,1
Non-public,Yeshivas Ohavei Torah Of Riverdale,Non-public,nysed_activeinstitutions,1
Non-public,Quik Park Wilson Llc,Non-public,dca_operatingbusinesses,1
Non-public,LSSMNY: Early LIFE Children's Center 6,Non-public,doe_universalprek,1
Non-public,First Response Recovery Inc,Non-public,dca_operatingbusinesses,1
Non-public,Bca Summer Camp At Ps 160,Non-public,nysed_activeinstitutions,1
Non-public,338 East 59th Street Garage Llc,Non-public,dca_operatingbusinesses,1
Non-public,Ultimate World Wide Recovery Corp,Non-public,dca_operatingbusinesses,1
Non-public,Jennifer Playground,Non-public,nysed_activeinstitutions,1
Non-public,New Visions Charter High School for Advanced Math and Science II,Non-public,doe_lcgms,1
Non-public,"Bella Voce, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,2nd And 22nd Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,Saint Patrick Catholic Academy,Non-public,nysed_activeinstitutions,1
Non-public,Usda Ceo P094m At Ps 051 Elias Howe,Non-public,nysed_activeinstitutions,1
Non-public,Montefiore Medical Center,Non-public,dca_operatingbusinesses,1
Non-public,John Polisnelli,Non-public,nysdec_solidwaste,1
Non-public,New Covenant Christian School,Non-public,doe_universalprek,2
Non-public,Lazio Collision Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Citizens of the World Charter School New York 2 Crown Heights,Non-public,doe_lcgms,1
Non-public,Big City Auto Body & Towing Service Corp Of Ny,Non-public,dca_operatingbusinesses,1
Non-public,Brooks Senior Center,Non-public,dfta_contracts,1
Non-public,"300 East 34th Street Garage, Llc",Non-public,dca_operatingbusinesses,1
Non-public,Universal Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,Dances and Drums of Africa,Non-public,dcla_culturalinstitutions,1
Non-public,Amg Petroleum 101 Llc,Non-public,dca_operatingbusinesses,1
Non-public,Usda-Ceo P373r At Ps 22r,Non-public,nysed_activeinstitutions,1
Non-public,Missionary Church of Christ,Non-public,foodbankny_foodbanks,1
Non-public,"Cititots Early Childhood Center, Inc.",Non-public,dohmh_daycare,1
Non-public,Fleet Street Auto Tow & Recovery Ltd,Non-public,dca_operatingbusinesses,1
Non-public,n+1 Foundation,Non-public,dcla_culturalinstitutions,1
Non-public,Biko Transformation Center,Non-public,dcla_culturalinstitutions,1
Non-public,"All In One Kids, Inc.",Non-public,dohmh_daycare,1
Non-public,"Dalton Schools, Inc.",Non-public,dohmh_daycare,2
Non-public,"After School Rocks, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Meat Mkt. Garage Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Willis Playground,Non-public,nysed_activeinstitutions,1
Non-public,"Rejoicensemble, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"Brooklyn Towing And Recovery, Inc.",Non-public,dca_operatingbusinesses,1
Non-public,Manhattan School House Llc,Non-public,dohmh_daycare,1
Non-public,Exotic Automotive Towing Inc.,Non-public,dca_operatingbusinesses,1
Non-public,"KINGSBAY YM-YWHA, INC.",Non-public,doe_universalprek,1
Non-public,Icahn Charter School 7,Non-public,doe_lcgms,1
Non-public,Brooklyn Public Library Kensington,Non-public,nysed_activeinstitutions,1
Non-public,King 67 Llc,Non-public,dca_operatingbusinesses,1
Non-public,Usda-Ceo P010x At Ps 152x,Non-public,nysed_activeinstitutions,1
Non-public,Queens Library - Woodhaven,Non-public,nysed_activeinstitutions,1
Non-public,New Ap Parking Corp.,Non-public,dca_operatingbusinesses,3
Non-public,"Creative Minds Center,Inc.",Non-public,dohmh_daycare,1
Non-public,"Uptown Dance Academy, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Presbyterian Church Of the Crossroads,Non-public,foodbankny_foodbanks,1
Non-public,"Tribeca Vision, Inc.",Non-public,dohmh_daycare,1
Non-public,"Colonial Towing & Recovery, Inc.",Non-public,dca_operatingbusinesses,1
Non-public,East Side House Settlement - Mitchell Senior Center,Non-public,foodbankny_foodbanks,1
Non-public,Saint Mark The Evangelist School,Non-public,nysed_activeinstitutions,1
Non-public,Bronx Academy of Promise Charter School,Non-public,doe_lcgms,1
Non-public,Beekman School (The),Non-public,nysed_activeinstitutions,1
Non-public,Pal At Classon Point Garden,Non-public,nysed_activeinstitutions,1
Non-public,Little Scholars Learning Center,Non-public,doe_universalprek,1
Non-public,"American Career Center, Inc.",Non-public,nysed_activeinstitutions,1
Non-public,United Nations International School,Non-public,dohmh_daycare,1
Non-public,William F Ryan Community Health Center Inc,Non-public,nysdoh_healthfacilities,11
Non-public,Al Pi Darko,Non-public,nysed_activeinstitutions,1
Non-public,Reliable Parking Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Fun Flicks (Bklyn Public Library),Non-public,nysed_activeinstitutions,1
Non-public,"125 Vertical Parking Group, Llc",Non-public,dca_operatingbusinesses,1
Non-public,St Augustine RC Ch,Non-public,foodbankny_foodbanks,1
Non-public,Concern for Independent Living Inc.,Non-public,nysomh_mentalhealth,5
Non-public,Atlantic Terminal,Non-public,nysed_activeinstitutions,1
Non-public,"Pamplemousse Productions, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"Gymtime/Rhythm & Glues, Inc.",Non-public,dohmh_daycare,1
Non-public,Ps16 At Ps196 Annex-Q,Non-public,nysed_activeinstitutions,1
Non-public,Gm&M Park Inc.,Non-public,dca_operatingbusinesses,3
Non-public,Leaders Day Camp At Ps 162,Non-public,nysed_activeinstitutions,1
Non-public,Mp West 58 Llc,Non-public,dca_operatingbusinesses,1
Non-public,Cove Towing Inc.,Non-public,dca_operatingbusinesses,1
Non-public,"Go Africa Network, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Usda-Ceo P373k At Methodist Hospital,Non-public,nysed_activeinstitutions,1
Non-public,Community Parking Corp,Non-public,dca_operatingbusinesses,1
Non-public,Caal Parking Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Fastway Towing & Recovery Inc.,Non-public,dca_operatingbusinesses,2
Non-public,Albany Street Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,Rochdale Early Advantage Charter School,Non-public,doe_lcgms,1
Non-public,9-11 Llc,Non-public,dca_operatingbusinesses,1
Non-public,Institute For The Puerto Rican Hispanic Elderly In,Non-public,dfta_contracts,7
Non-public,Christ Apostolic Church WOSEM,Non-public,foodbankny_foodbanks,1
Non-public,Brownsville Ascend Charter School,Non-public,doe_lcgms,1
Non-public,Elmcor-Todays Champions,Non-public,nysed_activeinstitutions,1
Non-public,"I & T Parking, Inc.",Non-public,dca_operatingbusinesses,1
Non-public,Kollel Zichron Yosef,Non-public,nysed_activeinstitutions,1
Non-public,Young Men's & Young Women's Hebrew Association,Non-public,dcla_culturalinstitutions,1
Non-public,785 Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,New York Career Institute,Non-public,nysed_activeinstitutions,1
Non-public,Wakefield Park,Non-public,nysed_activeinstitutions,1
Non-public,National Academy of Design,Non-public,dcla_culturalinstitutions,1
Non-public,St Joseph'S College N Y,Non-public,dca_operatingbusinesses,1
Non-public,"United Church Of Jesus Christ(Apostolic),Inc.",Non-public,dohmh_daycare,2
Non-public,"Wings Theatre Company, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Boulevard Houses,Non-public,nysed_activeinstitutions,1
Non-public,"Housing Works Health Services III, Inc.",Non-public,nysdoh_healthfacilities,4
Non-public,MASORES BAIS YAAKOV,Non-public,doe_universalprek,1
Non-public,Kingsbridge Parking Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Lss Leasing Limited Liability Company,Non-public,dca_operatingbusinesses,1
Non-public,"Aggressive Towing, Recovery & Transport Inc.",Non-public,dca_operatingbusinesses,1
Non-public,Blanche Memorial Church,Non-public,foodbankny_foodbanks,1
Non-public,"Dacosta, Michael",Non-public,dca_operatingbusinesses,1
Non-public,Usda-Ceo P811k At Is 281k,Non-public,nysed_activeinstitutions,1
Non-public,"Los Pleneros de la 21, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Gil'S Towing Inc,Non-public,dca_operatingbusinesses,1
Non-public,Hellenic Orthodox Community of Astoria St. Demetrios,Non-public,doe_universalprek,1
Non-public,"Catholic Charities Neighborhood Services, Inc.",Non-public,dohmh_daycare,4
Non-public,J & J Academy,Non-public,doe_universalprek,1
Non-public,ElBer Islamic School,Non-public,doe_universalprek,1
Non-public,Expert Service Station Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Mp 93 Llc,Non-public,dca_operatingbusinesses,1
Non-public,Brooklyn Austism Center Academy,Non-public,nysed_activeinstitutions,1
Non-public,Kc Third Avenue Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,Baisley Park Extension,Non-public,nysed_activeinstitutions,1
Non-public,Herbert Von King Cultural Arts Ctr,Non-public,nysed_activeinstitutions,1
Non-public,Nyc Parks-Corporal Seravalli,Non-public,nysed_activeinstitutions,1
Non-public,"Phoenix Realty Group, Llc",Non-public,dca_operatingbusinesses,1
Non-public,Ohel Elozer,Non-public,nysed_activeinstitutions,1
Non-public,Champion Parking 77th St. Corp.,Non-public,dca_operatingbusinesses,1
Non-public,"Bambi Day Care Center, Inc",Non-public,dohmh_daycare,1
Non-public,"Woodshed Collective, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Greenwich Village Youth Council,Non-public,dcla_culturalinstitutions,1
Non-public,Hospital Clinic,Non-public,nysed_activeinstitutions,1
Non-public,Trilok Fusion Arts Inc,Non-public,dohmh_daycare,1
Non-public,"In Lot Parking, Inc.",Non-public,dca_operatingbusinesses,1
Non-public,89 Sutphin Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Rossland Youth & Family Outreach,Non-public,nysed_activeinstitutions,1
Non-public,"Life Skills Home Training Tutorial Program For Pre-Schoolers, Inc.",Non-public,dohmh_daycare,1
Non-public,Faithful Church Of God In Christ,Non-public,nysed_activeinstitutions,1
Non-public,Rainbow Child Dev Center II,Non-public,doe_universalprek,1
Non-public,Catholic Charities Neighborhood Svcs Inc,Non-public,nysopwdd_providers,1
Non-public,ComuniLife Inc.,Non-public,nysomh_mentalhealth,8
Non-public,"Ruppert Car Park, Llc",Non-public,dca_operatingbusinesses,1
Non-public,"Community Health Project, Inc",Non-public,nysdoh_healthfacilities,3
Non-public,Urban Dove Inc,Non-public,dohmh_daycare,1
Non-public,Cosmokidz  Llc,Non-public,dohmh_daycare,1
Non-public,P753k At K500,Non-public,nysed_activeinstitutions,1
Non-public,Ajay 28 LLC,Non-public,nysdoh_healthfacilities,1
Non-public,"Baryshnikov Dance Foundation, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,395 Parking Corp.,Non-public,dca_operatingbusinesses,1
Non-public,"Theatre of the Emerging American Moment, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Charles R Drew ELC 5,Non-public,doe_universalprek,1
Non-public,"J. Mandle Performance, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"Watson Arts, Inc",Non-public,dcla_culturalinstitutions,1
Non-public,Cyclone Automotive Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Transfiguration School,Non-public,nysed_activeinstitutions,1
Non-public,Action Automotive Experts Corp,Non-public,dca_operatingbusinesses,1
Non-public,"Dialyze Direct NY, LLC",Non-public,nysdoh_healthfacilities,1
Non-public,"Black Spectrum Theatre Company, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"Olympic Parking Systems, Llc",Non-public,dca_operatingbusinesses,1
Non-public,"El Puente De Williamsburg, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Mti Business School,Non-public,nysed_activeinstitutions,1
Non-public,Holy Cross Greek Orthodox School,Non-public,nysed_activeinstitutions,1
Non-public,Backpacks And Binoculars Inc.,Non-public,dohmh_daycare,1
Non-public,Bpos Of Brooklyn Heights Corp,Non-public,dohmh_daycare,1
Non-public,Yeshiva Gedolah Ohr Yisroel,Non-public,nysed_activeinstitutions,1
Non-public,Usda-Ceo P138m At Ps 48m,Non-public,nysed_activeinstitutions,1
Non-public,0276 - Staten Island Ddso,Non-public,nysopwdd_providers,1
Non-public,Sp Plus Corportation,Non-public,dca_operatingbusinesses,1
Non-public,East 71st Street Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,"Christ The King Continuing Education,Inc.",Non-public,dohmh_daycare,1
Non-public,Chelsea 29 Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,"44 West 62nd Garage Partners, Llc",Non-public,dca_operatingbusinesses,1
Non-public,Corry Academy,Non-public,doe_universalprek,1
Non-public,Ukrainian Acad Arts & Sciences (The),Non-public,nysed_activeinstitutions,1
Non-public,Jewish Child Care Association of New York,Non-public,nysomh_mentalhealth,5
Non-public,J & J Towing Iii Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Merrick Academy - Queens Public Charter School,Non-public,doe_lcgms,1
Non-public,West Harlem Development Corporation,Non-public,dcla_culturalinstitutions,1
Non-public,215 East 24th Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Jamaica Montessori Associates. Inc.,Non-public,nysed_activeinstitutions,1
Non-public,T.P.E.C Llc,Non-public,dca_operatingbusinesses,1
Non-public,Fast Towing & Collision Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Nyc Parks-Carroll Park,Non-public,nysed_activeinstitutions,1
Non-public,Kids Creative,Non-public,nysed_activeinstitutions,1
Non-public,Platinum Towing Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Quik Park West 22nd St. Management Llc,Non-public,dca_operatingbusinesses,1
Non-public,First Church Of God Vcb,Non-public,nysed_activeinstitutions,1
Non-public,Hybrid Tow Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Tm & T Service Station Inc,Non-public,dca_operatingbusinesses,1
Non-public,City College Center for the Arts,Non-public,dcla_culturalinstitutions,1
Non-public,Ny Restaurant School,Non-public,nysed_activeinstitutions,1
Non-public,Yeshiva Chernobil,Non-public,nysed_activeinstitutions,1
Non-public,Parking De Point Inc,Non-public,dca_operatingbusinesses,1
Non-public,Senator Robert F. Wagner Sr. (1),Non-public,nysed_activeinstitutions,1
Non-public,"NW&D, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Alliance Computing Solutions Inc.,Non-public,nysed_activeinstitutions,2
Non-public,"Smith Car Park, Llc",Non-public,dca_operatingbusinesses,2
Non-public,Underground Development Foundation,Non-public,dcla_culturalinstitutions,1
Non-public,Usda-Ceo P075q At Ps 254q,Non-public,nysed_activeinstitutions,1
Non-public,Bmc Summer Day Camp,Non-public,nysed_activeinstitutions,1
Non-public,G & M Parking Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Champion Parking 28 Llc,Non-public,dca_operatingbusinesses,1
Non-public,Park America Corp,Non-public,dca_operatingbusinesses,2
Non-public,Tow Boy Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Usda-Ceo P373k At Brooklyn College,Non-public,nysed_activeinstitutions,1
Non-public,Fed Of The Handicapped,Non-public,nysed_activeinstitutions,1
Non-public,Heart of Brooklyn Cultural Institutions,Non-public,dcla_culturalinstitutions,1
Non-public,"Park 139th, Llc",Non-public,dca_operatingbusinesses,2
Non-public,"John Francesco Scrap, Inc",Non-public,dca_operatingbusinesses,1
Non-public,Food Stamps Site,Non-public,nysed_activeinstitutions,1
Non-public,GRYC Little Stars at Fairview,Non-public,doe_universalprek,1
Non-public,Susan E Wagner Child Care Ctr/ Northeast Bronx Day Care Ctr,Non-public,nysed_activeinstitutions,2
Non-public,Kings Collision Center Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Brooklyn Kindergarten Society,Non-public,dohmh_daycare,7
Non-public,"J.A.D.E. Multi Family Circle Center,Inc.",Non-public,dohmh_daycare,1
Non-public,Queens College Upward Bound,Non-public,nysed_activeinstitutions,1
Non-public,Hello World Language Center,Non-public,nysed_activeinstitutions,1
Non-public,Canaan Baptist Church Of Christ,Non-public,dfta_contracts,1
Non-public,"New York Collegium, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"New Music USA, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"Preschool For Special Children, The",Non-public,nysed_activeinstitutions,1
Non-public,"Nuit Blanche New York, LLC",Non-public,dcla_culturalinstitutions,1
Non-public,Fiji Theatre Company,Non-public,dcla_culturalinstitutions,1
Non-public,111 East 82 Partners Llc,Non-public,dca_operatingbusinesses,1
Non-public,"Old Merchant's House Museum of New York, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Saint Mary Church Christian Academy,Non-public,nysed_activeinstitutions,1
Non-public,Holy Cross School,Non-public,nysed_activeinstitutions,1
Non-public,Prince Hall Colonial Park Day Care Center,Non-public,doe_universalprek,1
Non-public,"Association for Development of Dramatic Arts, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"Carmel Garage, Inc.",Non-public,dca_operatingbusinesses,1
Non-public,Sydney Onyenwena,Non-public,nysdec_solidwaste,1
Non-public,87 East Llc,Non-public,dca_operatingbusinesses,1
Non-public,Little Pickles Daycare Center II,Non-public,doe_universalprek,1
Non-public,Khyle/Brenaj Early Childhood Education Center,Non-public,dohmh_daycare,1
Non-public,"Verranzo Nursing Home, Inc",Non-public,nysdoh_healthfacilities,1
Non-public,"New Hope Academy, Inc. (I/T)",Non-public,dohmh_daycare,1
Non-public,Northside Center for Child Development Inc.,Non-public,nysomh_mentalhealth,4
Non-public,"Mp 2026, Llc",Non-public,dca_operatingbusinesses,1
Non-public,"Bronx Symphony Orchestra, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Vintage Collision Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Marcus Garvey Park Alliance,Non-public,dcla_culturalinstitutions,1
Non-public,"Double Entendre Music Ensemble, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Oikos Community Corporation,Non-public,dohmh_daycare,2
Non-public,Jorcar Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,Gateway Parking Corp,Non-public,dca_operatingbusinesses,1
Non-public,Mary Mcdowell Friends School - Upper School,Non-public,nysed_activeinstitutions,1
Non-public,"New Festival, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Countywide Carpark Inc.,Non-public,dca_operatingbusinesses,1
Non-public,"Gymtime / Rhythm & Glues, Inc.",Non-public,dohmh_daycare,1
Non-public,Neshama Preschool,Non-public,doe_universalprek,1
